chksm1(8);chksm2(8);Size(4);Type(3);Title(48);Region(20)
3dd11db9;29822980;0256;SMS;Cosmic Spacehead                                ;(Europe) (En Fr De E
abf9969d;dac00a3a;0128;SMS;Cyber Shinobi  The                              ;(Europe  Brazil) (En
abf3c98d;1350e4f8;0256;SMS;Cyber Shinobi  The                              ;(Europe  Brazil) (En
eaeb2d00;ad9ff469;0256;SMS;Cyber Shinobi  The                              ;(Taiwan) (En) (Unl) 
f98c80c3;691211a1;0128;SMS;Cyborg Hunter                                   ;(USA  Europe  Brazil
1a42d304;908e7524;0128;SMS;Cyborg Hunter                                   ;(USA  Europe  Brazil
6d6a2333;77efe84a;0128;SMS;Cyborg Z                                        ;(Korea) (Unl)       
4a9e49ca;ea5c3a6f;0256;SMS;DINOBASHER - Starring Bignose the Caveman       ;(Europe) (Proto)    
7e048142;71abef27;0512;SMS;Daffy Duck in Hollywood                         ;(Europe  Brazil) (En
46e18414;89b79e77;0432;SMS;Dallyeora Pigu-Wang                             ;(Korea) (Unl)       
9c76c975;ae4a28d7;0256;SMS;Danan - The Jungle Fighter                      ;(Europe  Brazil) (En
e69968a5;f9271c3d;0256;SMS;Dead Angle                                      ;(USA  Europe  Brazil
95618ae0;e2f7193e;0256;SMS;Dead Angle                                      ;(USA  Europe  Brazil
eb1faeb2;42fc3a6e;0512;SMS;Deep Duck Trouble Starring Donald Duck          ;(Europe  Brazil) (En
2b927f6d;b137007a;0256;SMS;Desert Speedtrap Starring Road Runner and Wile E;(Europe  Brazil) (En
35852ab3;6c1433f9;0512;SMS;Desert Strike                                   ;(Europe) (En Fr De E
70b7e735;f6fab48d;0256;SMS;Dick Tracy                                      ;(USA  Europe  Brazil
deff747e;32f4b791;0128;SMS;Dinosaur Dooley  The                            ;(Korea) (En) (Unl)  
7d4a53cd;56bd2455;0128;SMS;Doki Doki Penguin Land - Uchuu Daibouken        ;(Japan) (Beta)      
3df0c03d;2bcdb8fa;0128;SMS;Doki Doki Penguin Land - Uchuu Daibouken        ;(Japan)             
2ec7ac72;f4f848c2;0256;SMS;Double Dragon                                   ;(Taiwan) (En) (Unl) 
77dc9a95;a55d89f3;0256;SMS;Double Dragon                                   ;(World)             
5f3c643e;f76d5cee;0256;SMS;Double Hawk                                     ;(Europe) (Beta)     
765f64ef;8370f6cd;0256;SMS;Double Hawk                                     ;(Europe)            
71d07d8a;52b83072;0128;SMS;Double Target - Cynthia no Nemuri               ;(Japan)             
16537865;16537865;0032;SMS;Dr. HELLO                                       ;(Korea) (En) (Unl)  
