chksm1(8);chksm2(8);Size(4);Type(3);Title(32);Region(7)
5fc303ee;12c4e6fd;0384;PCE;Fushigi no Yume no Alice        ;(Japan)
2feae0ac;95f90dec;0384;PCE;Gai Flame                       ;(Japan)
f99aa10d;6fd6827c;0256;PCE;Gaia no Monshou                 ;(Japan)
ecda5d7a;1a8393c6;0256;PCE;Galaga '88                      ;(Japan)
8cf8ef46;2909dec6;0256;PCE;Galaga '90                      ;(USA)  
74abcf11;27a4d11a;0256;PCE;Ganbare! Golf Boys              ;(Japan)
874c13a9;e8702d51;0512;PCE;Gekisha Boy                     ;(Japan)
285fe06e;ad450dfc;0512;PCE;Genji Tsuushin Agedama          ;(Japan)
efaf9414;b926c682;0512;PCE;Genpei Toumaden                 ;(Japan)
78afc982;8793758c;0512;PCE;Genpei Toumaden Ni no Maki      ;(Japan)
84fdb187;2db4c1fd;0512;PCE;Ghost Manor                     ;(USA)  
f1e9f4d6;e749a22c;0384;PCE;Gokuraku! Chuuka Taisen         ;(Japan)
95482ad9;9a353afd;0384;PCE;Gomola Speed                    ;(Japan)
bc527eb1;0517da65;0256;PCE;Gradius                         ;(Japan)
dfc53272;f370b58e;0512;PCE;Gunboat                         ;(USA)  
c726d6db;a17d4d7e;0384;PCE;Gunhed                          ;(Japan)
672cfb58;57f183ae;0256;PCE;Gunhed - Hudson Gunhed Taikai   ;(Japan)
e0383201;ba4d0dd4;0512;PCE;Hana Taaka Daka!                ;(Japan)
9a70ca15;bf3e2cc7;0256;PCE;Hanii in the Sky                ;(Japan)
997d400c;9897fa86;0384;PCE;Hanii on the Road               ;(Japan)
0ef54bfc;44e7df53;0128;PCE;Hatris                          ;(Japan)
60c56175;eb923de5;0384;PCE;Heavy Unit                      ;(Japan)
42b1218d;1cab1ee6;0384;PCE;Hisou Kihei - Xserd             ;(Japan)
4d22b2f9;7acb60c8;0384;PCE;Hit the Ice - VHL the Official V;(Japan)
48b42a7d;8b29c3aa;0384;PCE;Hit the Ice - VHL the Official V;(USA)  
ca80f435;b01ee703;0512;PCE;Honoo no Toukyuuji - Dodge Danpe;(Japan)
d98b09dc;9ec6fc6c;0512;PCE;Idol Hanafuda Fan Club          ;(Japan)
07a0e6ad;a80c565f;0512;PCE;Image Fight                     ;(Japan)
55cce8ad;e2470f5f;0512;PCE;Impossamole                     ;(USA)  
39091fb6;0ad97b04;0512;PCE;J. League Greatest Eleven       ;(Japan)
36cff5b0;e01c5127;0256;PCE;J.J. & Jeff                     ;(USA)  
211f11a5;ea751e82;0256;PCE;Jack Nicklaus' Greatest 18 Holes;(Japan)
2efc8641;83384572;0256;PCE;Jack Nicklaus' Turbo Golf       ;(USA)  
2e343ead;c6fa6373;0512;PCE;Jackie Chan                     ;(Japan)
574f7900;9d2f6193;0512;PCE;Jackie Chan's Action Kung Fu    ;(USA)  
387ba935;cc7d3eeb;0384;PCE;Jigoku Meguri                   ;(Japan)
a3c5636d;84240ef9;0512;PCE;Jinmu Denshou                   ;(Japan)
a3c5636d;c150637a;0512;PCE;Jinmu Denshou                   ;(Japan)
e27bed6c;6a628982;0512;PCE;Juuouki                         ;(Japan)
e27bed6c;c8c7d63e;0512;PCE;Juuouki                         ;(Japan)
88dea3ce;a9084d6e;0256;PCE;Kaizou Choujin Shubibinman      ;(Japan)
73d554b7;109ba474;0512;PCE;Kaizou Choujin Shubibinman 2 - A;(Japan)
d27ecef2;6069c5e7;0256;PCE;Kato-chan & Ken-chan            ;(Japan)
c1e4ddef;4f2844b0;0384;PCE;Kattobi! Takuhai-kun            ;(Japan)
6a40736c;474d7a72;0256;PCE;Keith Courage in Alpha Zones    ;(USA)  
920f6db8;7e3c367b;0384;PCE;KickBall                        ;(Japan)
5245de2a;c0cb5add;0384;PCE;Kikikai-kai                     ;(Japan)
bb51db94;bf52788e;0256;PCE;King of Casino                  ;(Japan)
52ef688d;2f2e2240;0256;PCE;King of Casino                  ;(USA)  
b37ed1a3;c74ffbc9;0256;PCE;Klax                            ;(Japan)
148d84e8;0f1b59b4;0256;PCE;Klax                            ;(USA)  
75cb6e62;c614116c;0256;PCE;Knight Rider Special            ;(Japan)
5355a14d;44f60137;0256;PCE;Kore ga Pro Yakyuu '89          ;(Japan)
6845dc50;1772b229;0256;PCE;Kore ga Pro Yakyuu '90          ;(Japan)
f16b5df8;b552c906;0256;PCE;Kung Fu  The                    ;(Japan)
3ee35de8;02dde03e;0512;PCE;Kyuukyoku Mahjong - Idol Graphic;(Japan)
e00d9bc3;e5b6b3e5;0512;PCE;Kyuukyoku Mahjong II            ;(Japan)
f7fdd1c2;09509315;0256;PCE;Kyuukyoku Tiger                 ;(Japan)
a69a6ff1;eb833d15;1024;PCE;Lady Sword                      ;(Japan)
a69a6ff1;c6f764ec;1024;PCE;Lady Sword                      ;(Japan)
52a5b8cb;c28b0d8a;0512;PCE;Legend of Hero Tonma            ;(Japan)
ec628400;3c131486;0512;PCE;Legend of Hero Tonma            ;(USA)  
fef51a54;220ebf91;0256;PCE;Legendary Axe II, The           ;(USA)  
ba0a46fc;2d211007;0256;PCE;Legendary Axe, The              ;(USA)  
f36fa715;e6ee1468;0256;PCE;Lode Runner - Lost Labyrinth    ;(Japan)
5da4c264;a15a1f37;0256;PCE;Maerchen Maze                   ;(Japan)
0d0ac63c;dd0ebf8c;0512;PCE;Magical Chase                   ;(Japan)
db40023e;95cd2979;0512;PCE;Magical Chase                   ;(USA)  
47806ba4;f5b90d55;0512;PCE;Mahjong Gakuen - Touma Soushirou;(Japan)
cd42e2d9;3e4d432a;0512;PCE;Mahjong Gakuen Mild - Touma Sous;(Japan)
cd42e2d9;f4148600;0512;PCE;Mahjong Gakuen Mild - Touma Sous;(Japan)
5a7b1f97;f8861456;0384;PCE;Mahjong Gokuu Special           ;(Japan)
98d83640;df10c895;0512;PCE;Mahjong Haouden - Kaiser's Quest;(Japan)
2ad357f0;6c34aaea;0256;PCE;Mahjong Shikaku Retsuden - Mahjo;(Japan)
1b41f9d1;5c78fee1;0256;PCE;Maison Ikkoku                   ;(Japan)
fac25fa3;be62eef5;0256;PCE;Makai Hakkenden Shada           ;(Japan)
e311e760;b101b333;0384;PCE;Makai Prince Dorabocchan        ;(Japan)
2acda3c3;d4c5af46;0256;PCE;Makyou Densetsu                 ;(Japan)
fcd10fa5;99f2865c;0512;PCE;Maniac Puroresu - Asu e no Tatak;(Japan)
cdd017b7;2f8935aa;0256;PCE;Mashin Eiyuu Den Wataru         ;(Japan)
a6d5ac89;e87190f1;0512;PCE;Mesopotamia                     ;(Japan)
1b485a75;25a02bee;0512;PCE;Metal Stoker                    ;(Japan)
58287b24;93f316f7;0384;PCE;Military Madness                ;(USA)  
ff59256f;b2ef558d;0512;PCE;Mizubaku Adventure              ;(Japan)
15c7149b;f860455c;0512;PCE;Momotarou Densetsu Gaiden - Dai-;(Japan)
499b519f;d9e1549a;0768;PCE;Momotarou Densetsu II           ;(Japan)
e1419f55;625221a6;0384;PCE;Momotarou Densetsu Turbo        ;(Japan)
b2549367;345f43e9;0512;PCE;Momotarou Katsugeki             ;(Japan)
69dd74d0;f2e46d25;0512;PCE;Monster Puroresu                ;(Japan)
3ea00ce1;2546efe0;0512;PCE;Morita Shougi PC                ;(Japan)
a9a4329a;428f36cd;0256;PCE;Moto Roader                     ;(Japan)
a539609a;e2b0d544;0256;PCE;Moto Roader                     ;(USA)  
c7670d82;4ba525ba;0384;PCE;Moto Roader II                  ;(Japan)
3cf17848;0b7f6e5f;0384;PCE;Moto Roader II                  ;(Japan)
b2c04b57;ac0cd796;0512;PCE;Mr. Heli no Daibouken           ;(Japan)
b2c04b57;2cb92290;0512;PCE;Mr. Heli no Daibouken           ;(Japan)
9f3fc33d;a32430d5;0512;PCE;NHK Taiga Drama - Taiheiki      ;(Japan)
840c1308;b01f70c2;0512;PCE;Narazumono Sentai Butai - Bloody;(Japan)
970c37bb;60ecae22;0384;PCE;Naxat Open                      ;(Japan)
562ff52a;20a7d128;0512;PCE;Naxat Stadium                   ;(Japan)
2bc1628e;0441d85a;0384;PCE;Nazo no Mascarade               ;(Japan)
f9f936b4;53109ae6;0256;PCE;Necromancer                     ;(Japan)
1e4718be;fb0fdcfe;0512;PCE;Necros no Yousai                ;(Japan)
eb1406b4;0243453b;0384;PCE;Nectaris                        ;(Japan)
bcbfc248;65fdb863;0256;PCE;Nekketsu Koukou Dodgeball-bu - P;(Japan)
e227813e;f2285c6d;0512;PCE;Nekketsu Koukou Dodgeball-bu - S;(Japan)
4e6e5084;9c49ef11;0384;PCE;Neutopia                        ;(Japan)
57bee285;a9a94e1b;0384;PCE;Neutopia                        ;(USA)  
319097d8;2b94aedc;0768;PCE;Neutopia II                     ;(Japan)
77e207f9;c4ed4307;0768;PCE;Neutopia II                     ;(USA)  
b2bec5b5;756a1802;0512;PCE;New Adventure Island            ;(USA)  
1f073278;8e4d75a8;0384;PCE;New Zealand Story, The          ;(Japan)
ac5fb4a7;c159761b;0512;PCE;Night Creatures                 ;(USA)  
b9d30283;82def9ee;0512;PCE;Niko Niko Pun                   ;(Japan)
d5803b05;67573bac;0512;PCE;Ninja Ryuuken Den               ;(Japan)
b5512904;de8af1c1;0512;PCE;Ninja Spirit                    ;(USA)  
a0e7a641;96e0cd9d;0384;PCE;Ninja Warriors, The             ;(Japan)
93d30c92;4d3b0bc9;0512;PCE;Obocchama-kun                   ;(Japan)
ef6bb2f5;ff898f87;0512;PCE;Operation Wolf                  ;(Japan)
91ad0bf3;fae0fc60;0512;PCE;Order of the Griffon            ;(USA)  
381cbddc;8c565cb6;0512;PCE;Ordyne                          ;(Japan)
b85488c2;e7bf2a74;0512;PCE;Ordyne                          ;(USA)  
fde00919;5cdb3f5b;0256;PCE;Out Live                        ;(Japan)
9236c9ed;e203f223;0512;PCE;Out Run                         ;(Japan)
ee613a34;b74ec562;0256;PCE;Override                        ;(Japan)
6d494b6a;7632db90;0256;PCE;P-47 - The Freedom Fighter      ;(Japan)
81e89222;8fb4f228;0512;PCE;PC Denjin - Punkic Cyborgs      ;(Japan)
81e89222;740491c2;0512;PCE;PC Denjin - Punkic Cyborgs      ;(Japan)
e9672529;67b35e6e;0384;PCE;PC Genjin - Pithecanthropus Comp;(Japan)
d67a5fd7;2cb5cd55;0384;PCE;PC Genjin - Pithecanthropus Comp;(Japan)
d68c75f4;3028f7ca;0512;PCE;PC Genjin 2 - Pithecanthropus Co;(Japan)
7002e81b;6f6ed301;0768;PCE;PC Genjin 3 - Pithecanthropus Co;(Japan)
db0a5942;a170b60e;1024;PCE;PC Genjin 3 - Pithecanthropus Co;(Japan)
32082e33;0aa88f33;0512;PCE;PC Pachi-Slot Idol Gambler      ;(Japan)
10380733;14fad3ba;0256;PCE;Pac-Land                        ;(Japan)
458dd66c;d6e30ccd;0256;PCE;Pac-Land                        ;(USA)  
4f70938a;4148fd7c;0512;PCE;Pachio-kun - Juuban Shoubu      ;(Japan)
5d577fa8;a980e0e9;0512;PCE;Panza Kick Boxing               ;(USA)  
6d8db259;9893e0e6;0256;PCE;Paranoia                        ;(Japan)
e1bd40b9;51e86451;0384;PCE;Parasol Stars - The Story of Bub;(Japan)
270d242f;e6458212;0384;PCE;Parasol Stars - The Story of Bub;(USA)  
0f17b1ce;647718f9;1024;PCE;Parodius Da! - Shinwa kara Owara;(Japan)
38de3a3f;0a9ade99;0512;PCE;Populous                        ;(Japan)
38de3a3f;083c956a;0512;PCE;Populous                        ;(Japan)
9863d806;99e6d988;0512;PCE;Power Drift                     ;(Japan)
9863d806;25e0f6e9;0512;PCE;Power Drift                     ;(Japan)
4603e0d7;3e647d8b;0384;PCE;Power Eleven                    ;(Japan)
1ae73682;be8b6e3b;0256;PCE;Power Gate                      ;(Japan)
d394e466;ea324f07;0384;PCE;Power Golf                      ;(Japan)
3c494ad8;ed1d3843;0384;PCE;Power Golf                      ;(USA)  
5d7a9b22;7d3e6f33;0768;PCE;Power League '93                ;(Japan)
e2bdb632;04a85769;0256;PCE;Power League                    ;(Japan)
186bcc16;69180984;0256;PCE;Power League                    ;(Japan)
efcb5027;c5fdfa89;0384;PCE;Power League II                 ;(Japan)
e906dbe7;8aa4b220;0384;PCE;Power League III                ;(Japan)
c6a1bf85;30cc3563;0512;PCE;Power League IV                 ;(Japan)
bdc011af;8b61e029;0768;PCE;Power League V                  ;(Japan)
f56b7e72;29eec024;0512;PCE;Power Sports                    ;(Japan)
c14cefa6;8def5aa1;0512;PCE;Power Tennis                    ;(Japan)
db2dd847;11a36745;0256;PCE;Pro Tennis World Court          ;(Japan)
b4b1992f;66b167a9;0256;PCE;Pro Yakyuu World Stadium '91    ;(Japan)
1c20891e;34e089a9;0256;PCE;Pro Yakyuu World Stadium        ;(Japan)
f9c8d4b1;03883ee8;0256;PCE;Psycho Chaser                   ;(Japan)
67a61beb;6cc10824;0256;PCE;Psychosis                       ;(USA)  
5f7d1433;faa6e187;0256;PCE;Puzzle Boy                      ;(Japan)
b0ec122e;965c95b3;0256;PCE;Puzznic                         ;(Japan)
6ea96e80;f2e6856d;1024;PCE;Quiz Toukou Shashin             ;(Japan)
5db0fe8e;91ce5156;0512;PCE;R-Type                          ;(USA)  
62a88fa2;cec3d28a;0256;PCE;R-Type Part-1                   ;(Japan)
83f1dcd2;f207ecae;0256;PCE;R-Type Part-2                   ;(Japan)
4d83084f;d8373de6;0384;PCE;Rabio Lepus Special             ;(Japan)
685e41ad;3e79734c;0512;PCE;Racing Damashii                 ;(Japan)
a4e483b6;850829f2;0768;PCE;Raiden                          ;(Japan)
2fc257c5;bc59c31e;0768;PCE;Raiden                          ;(USA)  
656a7e6e;00c38e69;0384;PCE;Rastan Saga II                  ;(Japan)
06f56767;2fd65312;0384;PCE;Rock-On                         ;(Japan)
4867eb11;91e6896f;0256;PCE;Ryuukyuu                        ;(Japan)
d16627f0;f999356f;0256;PCE;Sadakichi 7 Series - Hideyoshi n;(Japan)
18d78663;0590a156;0512;PCE;Saigo no Nindou - Ninja Spirit  ;(Japan)
a5ffa26b;faecce20;0256;PCE;Salamander                      ;(Japan)
6ecd0db5;77a924b7;0512;PCE;Samurai-Ghost                   ;(USA)  
f94b1505;2e955051;0512;PCE;Sekigahara                      ;(Japan)
624e156c;90e6bf49;0256;PCE;Sengoku Mahjong                 ;(Japan)
898f9852;6923d736;0128;PCE;Shanghai                        ;(Japan)
06523723;bc655cf3;0384;PCE;Shinobi                         ;(Japan)
13c8dd9c;469a0fdf;0256;PCE;Shiryou Sensen                  ;(Japan)
152e1f8c;2774462c;0512;PCE;Shockman                        ;(USA)  
c98ac1e8;23ec8970;0256;PCE;Shougi Shodan Icchokusen        ;(Japan)
2d192233;457f2bc4;0256;PCE;Shougi Shoshinsha Muyou         ;(Japan)
eb34b418;e5e7b8b7;0256;PCE;SideArms - Hyper Dyne           ;(Japan)
bd064f44;d1993c9f;0256;PCE;SideArms - Hyper Dyne           ;(USA)  
fe50b16e;616ea179;0512;PCE;Silent Debuggers                ;(Japan)
53374398;fa7e5d66;0512;PCE;Silent Debuggers                ;(USA)  
ef9868aa;b5c4eebd;0384;PCE;Sindibad - Chitei no Daimakyuu  ;(Japan)
10a52ff8;4f6e2dbd;0384;PCE;Sinistron                       ;(USA)  
6dd337ea;4d539c9f;0256;PCE;Skweek                          ;(Japan)
e7303748;8420b12b;0512;PCE;Soldier Blade                   ;(Japan)
f0749f2e;4bb68b13;0512;PCE;Soldier Blade                   ;(USA)  
45563731;f39f38ed;0512;PCE;Soldier Blade Special - Caravan ;(Japan)
aaa38844;8fcaf2e9;0512;PCE;Somer Assault                   ;(USA)  
66eb27d3;d7921df2;0256;PCE;Son Son II                      ;(Japan)
ed705056;f74e5eb3;0256;PCE;Sonic Spike - World Championship;(USA)  
460a9b1e;fb37ddc4;0128;PCE;Soukoban World                  ;(Japan)
5893e72c;64580427;0512;PCE;Space Harrier                   ;(Japan)
e0def579;43b05eb8;0512;PCE;Space Harrier                   ;(USA)  
39f6cd3f;99496db3;0256;PCE;Space Invaders - Fukkatsu no Hi ;(Japan)
f114d419;09a0bfcc;0512;PCE;Special Criminal Investigation  ;(Japan)
5a27a103;1c6ff459;0256;PCE;Spin Pair                       ;(Japan)
e4291096;a5290dd0;0512;PCE;Spiral Wave                     ;(Japan)
95456341;6b319457;0512;PCE;Splatterhouse                   ;(Japan)
22857aa7;d00ca74f;0512;PCE;Splatterhouse                   ;(USA)  
164f513d;727f4656;0256;PCE;Stratego                        ;(Japan)
d54be847;d15cb6bb;2560;PCE;Street Fighter II' - Champion Ed;(Japan)
1f8eaa9a;d6fc51ce;1024;PCE;Strip Fighter II                ;(Japan)
204186ae;56488b36;0256;PCE;Super Metal Crusher             ;(Japan)
1c661a80;3eb5304a;0384;PCE;Super Momotarou Dentetsu        ;(Japan)
